Date;23-9-2021;;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE;CURRENCY
270618;Y;EQ;S;UNITED STATES;GERMANY;E;NL;CNH GLOBAL (FRA) DEAD - 01/10/13;CNH GLOBAL (FRA) DEAD - 01/10/13;CNH GLOBAL;NL0000298933;E 
702229;Y;UT;P;NETHERLANDS;NA;U$;NL;COLUMBIA SECURITIES DEAD - Merged:91658V;COLUMBIA SECURITIES DEAD - Merged:91658V;COLUMBIA SECURITIES;NL0000440709;U$
26496V;Y;EQ;S;FRANCE;FRANCE;E;NL;COMPLETEL DEAD - 18/11/10;COMPLETEL DEAD - 18/11/10;COMPLETEL EUROPE NV;NL0000262822;E 
88673V;Y;EQ;P;UNITED STATES;UNITED STATES;U$;FR;CONSTELLIUM SE A;CONSTELLIUM SE A;CONSTELLIUM SE;FR0013467479;U$
729500;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CONTENT BEHEER DEAD - DELIST 16/07/99;CONTENT BEHEER DEAD - DELIST 16/07/99;CONTENT BEHEER NV;NL0000345015;E 
27507N;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;COOPERATIE KONINKLIJKE CEBECO GROEP UA;COOPERATIE KONINKLIJKE CEBECO GROEP UA;COOPERATIE KONINKLIJKE;NA;E 
27507M;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;COOP. CONDENSFABRIEK FRIESLAND (CCF);COOPERATIVE CONDENSFABRIEK FRIESLAND (CCF);COOPERATIVE CONDENSFABRIEK;NA;E 
676212;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;COPACO DEAD - DELIST 10/12/04;COPACO DEAD - DELIST 10/12/04;COPACO NV;NL0000345338;E 
933025;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CORBION;CORBION;CORBION;NL0010583399;E 
311577;Y;EQ;P;UNITED STATES;UNITED STATES;U$;NL;CORE LABORATORIES;CORE LABORATORIES;CORE LABORATORIES;NL0000200384;U$
905503;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CORIO DEAD - 01/04/15;CORIO DEAD - 01/04/15;CORIO NV;NL0000288967;E 
929136;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CORPORATE EXPRESS DEAD - 07/08/08;CORPORATE EXPRESS DEAD - 07/08/08;CORPORATE EXPRESS NV;NL0000852861;E 
27507P;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;COVECO BEHEER NV DEAD - DEAD;COVECO BEHEER NV DEAD - DEAD;COVECO BEHEER NV;NA;E 
2550D9;Y;EQ;P;NORWAY;NORWAY;NK;NL;CRC HOLDING;CRC HOLDING;PRYME BV;NL00150005Z1;NK
929627;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;CR.LYONN.BK.NED.CERTS;CREDIT LYONNAIS BANK NEDERLANDS CERTS;CREDIT LYONNAIS BANK NEDERLANDS CERTS;NA;E 
701548;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CROWN VAN GELDER DEAD - 24/04/15;CROWN VAN GELDER DEAD - 24/04/15;CROWN VAN GELDER NV;NL0000345452;E 
269490;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CRUCELL DEAD - 12/04/11;CRUCELL DEAD - 12/04/11;CRUCELL NV;NL0000358562;E 
51238W;Y;EQ;S;NETHERLANDS;UNITED KINGDOM;£;NL;CRYO SAVE GROUP (DI) DEAD - 30/06/10;CRYO SAVE GROUP (DI) DEAD - 30/06/10;ESPERITE NV;NL0009272137;£ 
888893;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CSS NM DEAD - DEAD 23/06/03;CSS NM DEAD - DEAD 23/06/03;CSS NM;NL0000345544;E 
676629;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CTAC NM;CTAC NM;CTAC NM NV;NL0000345577;E 
2560J3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CTP NV;CTP NV;CTP NV;NL00150006R6;E 
8708W5;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CURETIS DEAD - DELIST.05/05/20;CURETIS DEAD - DELIST.05/05/20;CURETIS;NL0011509294;E 
504488;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;DAF DEAD - DELIST.01/09/93;DAF DEAD - DELIST.01/09/93;DAF;NL0000009553;FL
87225R;Y;EQ;S;NETHERLANDS;NETHERLANDS;E;NL;DE MASTER BLENDERS 1753 DEAD - 29/10/13;DE MASTER BLENDERS 1753 DEAD - 29/10/13;DE MASTER BLENDERS 1753 BV;NL0010157558;E 
932854;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DE VRIES ROBBE GROEP DEAD - 29/01/10;DE VRIES ROBBE GROEP DEAD - 29/01/10;DE VRIES ROBBE GROEP NV;NL0000370294;E 
923884;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DELFT INSTRUMENTS DEAD - DELIST 01/06/04;DELFT INSTRUMENTS DEAD - DELIST 01/06/04;DELFT INSTRUMENTS NV;NL0000375772;E 
